run_id,config_name,dataset,model,seq_len,embed_dim,hidden_dim,dropout,lr,num_heads,num_layers,epochs,batch_size,seed,device,train_windows,val_windows,test_windows,train_anomalies,val_anomalies,test_anomalies,vocab_size,runtime_seconds,loss,next_event_accuracy,precision,recall,f1,auc,threshold
4,medium_context_larger_model,openstack,transformer,10,64,128,0.1,0.001,4,1,3,128,42,mps,22357,7056,1467,0,30,30,26,2.906852041996899,0.0649457797408104,0.9863667348329924,0.0192307692307692,0.4666666666666667,0.0369393139841688,0.4996984458362329,0.0033923003356903
5,medium_context_deeper_transformer,openstack,rnn,10,64,128,0.1,0.001,4,2,3,128,42,mps,22357,7056,1467,0,30,30,26,2.808097375003854,0.0654282867908477,0.985685071574642,0.0221932114882506,0.5666666666666667,0.0427135678391959,0.5257712827650197,0.0016067225951701
5,medium_context_deeper_transformer,openstack,lstm,10,64,128,0.1,0.001,4,2,3,128,42,mps,22357,7056,1467,0,30,30,26,2.1935912920016563,0.0621119774878025,0.9863667348329924,0.0219941348973607,0.5,0.0421348314606741,0.558083971236372,0.0025471169501543
5,medium_context_deeper_transformer,openstack,transformer,10,64,128,0.1,0.001,4,2,3,128,42,mps,22357,7056,1467,0,30,30,26,3.9463042079878505,0.0644977018237114,0.9863667348329924,0.0209003215434083,0.4333333333333333,0.0398773006134969,0.5271166782649037,0.0039350944571197
6,short_context_small_model,openstack2k,rnn,5,32,64,0.1,0.001,4,1,3,128,42,mps,1197,399,399,0,31,31,44,0.2649248750094557,2.6566526889801025,0.4060150375939849,0.4680851063829787,0.7096774193548387,0.5641025641025641,0.9146651472650772,4.4141880815679375
6,short_context_small_model,openstack2k,transformer,5,32,64,0.1,0.001,4,1,3,128,42,mps,1197,399,399,0,31,31,44,0.2817317919980269,2.8054490089416504,0.3859649122807017,0.375,0.4838709677419355,0.4225352112676056,0.8824070827489482,4.5762609115754715
6,short_context_small_model,openstack2k,lstm,5,32,64,0.1,0.001,4,1,3,128,42,mps,1197,399,399,0,31,31,44,0.154234624991659,2.7726776599884033,0.3934837092731829,0.3125,0.4838709677419355,0.379746835443038,0.8623334502103787,4.235254752900866
7,medium_context_small_model,openstack2k,rnn,10,32,64,0.1,0.001,4,1,3,128,42,mps,1194,398,398,0,31,31,44,0.2575706669886131,2.6806395053863525,0.3668341708542713,0.2765957446808511,0.8387096774193549,0.416,0.902478685066362,4.010530186807267
7,medium_context_small_model,openstack2k,transformer,10,32,64,0.1,0.001,4,1,3,128,42,mps,1194,398,398,0,31,31,44,0.3492017909884453,2.847985029220581,0.3165829145728643,0.2758620689655172,0.5161290322580645,0.3595505617977528,0.8382262459347806,4.087962061467797
7,medium_context_small_model,openstack2k,lstm,10,32,64,0.1,0.001,4,1,3,128,42,mps,1194,398,398,0,31,31,44,0.1981940419937018,2.8355185985565186,0.3467336683417085,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.84323635404764,4.723284658133381
